+---+------------------------+----------------+
|   |         Error          |   Vector xi    |
+---+------------------------+----------------+
| 0 |          0.0           |      [[1]      |
|   |                        |       [1]      |
|   |                        |      [1]]      |
| 1 |   0.8333333333333333   | [[0.16666667]  |
|   |                        |  [0.4047619 ]  |
|   |                        |  [0.63265306]] |
| 2 |  0.16043083900226757   | [[0.32709751]  |
|   |                        |  [0.43432135]  |
|   |                        |  [0.60551159]] |
| 3 |  0.003934923499688159  | [[0.32669451]  |
|   |                        |  [0.43825627]  |
|   |                        |  [0.60500703]] |
| 4 | 0.0005717270634170157  | [[0.32612278]  |
|   |                        |  [0.43841003]  |
|   |                        |  [0.60506674]] |
| 5 | 3.5577614080017916e-05 | [[0.32608721]  |
|   |                        |  [0.43840658]  |
|   |                        |  [0.60507232]] |
| 6 | 7.457764245044629e-07  | [[0.32608685]  |
|   |                        |  [0.43840583]  |
|   |                        |  [0.60507247]] |
+---+------------------------+----------------+
