+----+------------------------+----------------+
|    |         Error          |   Vector xi    |
+----+------------------------+----------------+
| 0  |          0.0           |      [[1]      |
|    |                        |       [1]      |
|    |                        |      [1]]      |
| 1  |   0.8333333333333333   | [[0.16666667]  |
|    |                        |  [0.28571429]  |
|    |                        |  [0.42857143]] |
| 2  |  0.22108843537414968   | [[0.38095238]  |
|    |                        |  [0.48639456]  |
|    |                        |  [0.64965986]] |
| 3  |  0.07029478458049887   | [[0.3106576 ]  |
|    |                        |  [0.42419825]  |
|    |                        |  [0.59037901]] |
| 4  |  0.02024619371558145   | [[0.33090379]  |
|    |                        |  [0.44270906]  |
|    |                        |  [0.60930631]] |
| 5  |  0.006239684082249675  | [[0.32466411]  |
|    |                        |  [0.43711284]  |
|    |                        |  [0.60376959]] |
| 6  | 0.0018554879029681337  | [[0.32651959]  |
|    |                        |  [0.43879519]  |
|    |                        |  [0.60546044]] |
| 7  |  0.000562197513864493  | [[0.3259574 ]  |
|    |                        |  [0.43828857]  |
|    |                        |  [0.60495503]] |
| 8  | 0.00016867049736007944 | [[0.32612607]  |
|    |                        |  [0.43844108]  |
|    |                        |  [0.60510772]] |
| 9  | 5.0867095521156536e-05 | [[0.3260752 ]  |
|    |                        |  [0.43839517]  |
|    |                        |  [0.60506184]] |
| 10 | 1.5298656377338293e-05 | [[0.3260905 ]  |
|    |                        |  [0.43840899]  |
|    |                        |  [0.60507566]] |
| 11 | 4.607764983510787e-06  | [[0.32608589]  |
|    |                        |  [0.43840483]  |
|    |                        |  [0.6050715 ]] |
+----+------------------------+----------------+
