+----+------------------------+----------------+
|    |         Error          |   Vector xi    |
+----+------------------------+----------------+
| 0  |          0.0           |      [[0]      |
|    |                        |       [0]      |
|    |                        |      [0]]      |
| 1  |   6.079101562499999    | [[4.6875    ]  |
|    |                        |  [4.58984375]  |
|    |                        |  [6.07910156]] |
| 2  |   1.1721611022949219   | [[4.94995117]  |
|    |                        |  [5.42411804]  |
|    |                        |  [4.90694046]] |
| 3  |   0.5139008164405823   | [[5.1450491 ]  |
|    |                        |  [4.91021723]  |
|    |                        |  [4.9858554 ]] |
| 4  |   0.2093684859573841   | [[4.93568061]  |
|    |                        |  [4.9979257 ]  |
|    |                        |  [5.00267186]] |
| 5  |  0.07975101822618491   | [[5.01543163]  |
|    |                        |  [5.00617592]  |
|    |                        |  [5.00190533]] |
| 6  |  0.017359560769294013  | [[4.99807207]  |
|    |                        |  [4.99844896]  |
|    |                        |  [4.9988774 ]] |
| 7  | 0.0019252163057297267  | [[4.99999728]  |
|    |                        |  [5.0000361 ]  |
|    |                        |  [5.00029569]] |
| 8  |  0.000333315514899013  | [[5.00001196]  |
|    |                        |  [5.00008712]  |
|    |                        |  [4.99996238]] |
| 9  | 0.00011307999553622494 | [[5.00002423]  |
|    |                        |  [4.99997404]  |
|    |                        |  [4.99999859]] |
| 10 | 3.8405948814101976e-05 | [[4.99998583]  |
|    |                        |  [5.00000162]  |
|    |                        |  [5.00000103]] |
| 11 | 1.822162993114773e-05  | [[5.00000405]  |
|    |                        |  [5.00000118]  |
|    |                        |  [5.00000024]] |
| 12 | 4.692659953065004e-06  | [[4.99999936]  |
|    |                        |  [4.99999958]  |
|    |                        |  [4.99999976]] |
| 13 | 6.717573262093879e-07  | [[5.00000003]  |
|    |                        |  [5.00000004]  |
|    |                        |  [5.00000008]] |
+----+------------------------+----------------+
